episode,reward,success,avg_damping_ratio,avg_oscillation_freq,freq_deviation,voltage_deviation,control_cost,weight_idx,critic_loss,actor_loss,buffer_size
0,14.127172848458262,1,0.1138301034643463,4.767248932510021,5.931460327701643e-05,0.046654462814331055,0.18598408641791253,0,0.0,0.0,28
1,15.327501957986916,1,0.12184450016908789,4.728899792565144,9.777875675354153e-05,0.047297824174165726,0.18630604707701887,0,0.0,0.0,56
2,14.57463574672373,1,0.11667748706347425,4.829468334561962,0.00011570804781513289,0.04741135984659195,0.18428833890793997,0,0.0,0.0,84
3,-10.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,84
4,13.807350311200041,1,0.11171541196032199,4.684391179757979,7.71331979194656e-05,0.04725624993443489,0.18551362710566546,0,0.0,0.0,112
5,15.919792982938112,1,0.1254137800942887,4.814178182268811,7.975207699928433e-05,0.047394026070833206,0.18338651384114948,0,0.0,0.0,140
6,14.845782436703525,1,0.11870026065879004,4.834621497562613,0.00016570409934502095,0.04875804856419563,0.18555985169411932,0,0.0,0.0,168
7,14.221106373005119,1,0.1143608567858175,4.797838161423044,0.000123043151688762,0.047312118113040924,0.18422421286893823,0,0.0,0.0,196
8,-0.3615260566901649,1,0.11847815263863729,4.688915691332965,0.00016416875587310642,0.046612974256277084,0.18373407579796336,0,0.0,0.0,224
9,-1.8488021686482297,1,0.11995224062617825,4.685243081723134,7.336427370319143e-05,0.047221846878528595,0.18498593519298984,0,0.0,0.0,252
10,-8.64312820748577,1,0.1277520088035926,4.82086135951841,0.00016409797535743564,0.046818964183330536,0.36173840380337163,0,0.11609625993296505,0.12515327033121137,280
11,-64.59032038511273,1,0.11591850037493356,4.750169293806901,0.0005403704126365483,0.04537948966026306,0.6294052228561006,1,0.13750727767390863,0.14517883936475431,308
12,-5.764436463644621,1,0.11841409662066504,4.66157455723904,0.000549950753338635,0.04834318906068802,0.6475254193442507,1,0.14952991187705525,0.1780566724732385,336
13,-56.770025694929565,1,0.12407245553035996,4.848861927897458,0.0008291357080452144,0.04799754172563553,0.7187057811723639,1,0.20612200615661486,0.14527656656822988,364
14,-10.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,364
15,-29.10190922549258,1,0.14303216254833787,4.8458525456286825,0.001632539788261056,0.03219586983323097,0.7430735046441717,1,0.2248883482201823,0.12572395888024143,392
16,34.57435669294542,1,0.12159497254342821,4.794517008989035,0.0002156527916667983,0.04822361841797829,0.7645916484880051,1,0.23228165141439863,0.05840088422077575,420
17,-10.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,420
18,-10.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,420
19,-66.05524136647638,1,0.12500095557071522,4.7905587391960065,0.0005892387707717717,0.04718098044395447,0.9053252230112475,1,0.27097023165385636,0.0035727365840492503,448
20,-38.92981224211003,1,0.12404116251137867,4.814501529591068,0.0008732527494430542,0.046299416571855545,0.9404701122324746,1,0.2799457616305777,0.07650311763531395,476
21,-20.201594892661227,1,0.12363955463413645,4.733577764308224,0.00097821862436831,0.046337250620126724,0.9110809231284314,2,0.2965030329568045,0.048586768771721314,504
22,-10.0,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,504
23,-6.2547421540648065,1,0.1280555715029044,4.8209677909944775,0.0013285859022289515,0.044560786336660385,0.9060482795334103,2,0.3217554808195148,0.000417814141006342,532
24,-10.0,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,532
25,-13.350967971166853,1,0.12612343456976288,4.823301324445386,0.0016421617474406958,0.04552417993545532,0.8307228889580599,2,0.32966136852545397,-0.03517310032787334,560
