episode,reward,success,avg_damping_ratio,avg_oscillation_freq,freq_deviation,voltage_deviation,actor_loss,critic_loss,action_magnitude
0,-11.036865684637215,1,0.1162264266545221,4.738091297003462,0.00028346586623229086,0.04625533148646355,0.9518373981118202,0.10732130035758018,0.279845654964447
1,-9.129850158080881,1,0.119312442314959,4.834816351248683,0.00022735873062629253,0.04693198949098587,0.812033835053444,0.0319728996604681,0.2645741403102875
2,-11.585076340528179,1,0.1182774208380289,4.835135522627759,0.0002831720921676606,0.04708847030997276,0.8544794738292694,0.15887731239199637,0.29723167419433594
3,-80.0,0,0.05374162664678301,4.521120861964525,0.00010736286640167236,0.19879993796348572,0.0,0.0,0.3641960024833679
4,-12.40222808122796,1,0.1109792703459214,4.798634822883299,0.0002843338588718325,0.047181375324726105,0.7425522610545159,0.08984405025839806,0.3303031027317047
5,-12.936938428252418,1,0.11735179213956336,4.830687763800663,0.0002651853137649596,0.04749726876616478,0.8429388582706452,0.16787953153252602,0.38662126660346985
6,-84.77746394298632,0,0.10674910086475825,4.829026677069218,0.00036468604230321944,0.06592264771461487,12.7659743309021,188.5185546875,0.4039232134819031
7,-15.875308310523907,1,0.11506162103015923,4.747637604124145,0.0003465531044639647,0.04664335027337074,1.160481148958206,0.325264085829258,0.42430734634399414
8,-15.008528290932448,1,0.11345161480999101,4.831405844416179,0.00030485805473290384,0.0456763431429863,1.1966512352228165,0.07346492558717728,0.4353257119655609
9,-15.694483152687809,1,0.11642762109577798,4.749070896826486,0.0003262657264713198,0.0473155714571476,0.730914457142353,0.05470690801739693,0.4357984960079193
10,-14.037965803685566,1,0.11563436432678977,4.82924939929765,0.00028288736939430237,0.04629260301589966,0.5217918083071709,0.013629188016057014,0.4442161023616791
11,-15.164689100048584,1,0.1137167740113727,4.7469074556967445,0.00028706129523925483,0.04416239634156227,0.9467308714985847,0.050654399394989016,0.4421059489250183
12,-16.98778508073162,1,0.11751202989194444,4.807430823833892,0.00036712735891342163,0.04719967022538185,0.7919466167688369,0.1910037577152252,0.4456329941749573
13,-18.136242305027892,1,0.12436350358648383,4.816257502870791,0.00044070769217796624,0.046594079583883286,0.9550754636526108,0.18781310319900513,0.44826778769493103
14,-80.0,0,0.08228798180336216,3.8253381724580153,0.00011657178401947021,0.1989513486623764,0.0,0.0,0.4852619171142578
15,-51.78093060183496,1,0.12053833888869038,4.726222496909289,0.0018113607075065374,0.031716879457235336,5.535436701774597,5.572547101974488,0.4557655453681946
16,-17.40088393451111,1,0.11270842342748304,4.709330637059344,0.00036205723881721497,0.047616131603717804,0.7783811326138675,0.1119832007214427,0.45709630846977234
17,-80.0,0,0.44548196284396535,3.361269487369254,0.00013050436973571777,0.02565324679017067,0.0,0.0,0.44302716851234436
18,-80.0,0,0.030955119124902706,3.6311475204738786,0.00031438469886779785,0.2240263670682907,0.0,0.0,0.44213443994522095
19,-16.477383848312883,1,0.1144876413246669,4.780478967614749,0.000348724948707968,0.04694169759750366,0.800459548830986,0.03084730580449104,0.4563020169734955
20,-15.702341306904593,1,0.11911574863483188,4.805339708545445,0.00033058333792723715,0.04623476043343544,0.4559798488393426,0.009331631846725941,0.45960643887519836
21,-15.766584633559576,1,0.1164899155974426,4.774861914816242,0.0003391424543224275,0.04629895091056824,0.5768365217372775,0.005500978324562311,0.4547414183616638
22,-80.0,0,0.44548197701868897,3.3612694819342877,0.0001258552074432373,0.025651277974247932,0.0,0.0,0.3762710988521576
23,-21.8079491484146,1,0.11339050831265264,4.828894813147305,0.0005421362002380192,0.045046117156744,1.1398886293172836,0.17632730305194855,0.45322537422180176
24,-80.0,0,0.44548264433688844,3.3612692260661046,5.048513412475586e-05,0.04469844698905945,0.0,0.0,0.4748653471469879
25,-21.291522372567506,1,0.12041553292601792,4.812058500467072,0.00055594154400751,0.04611307382583618,0.7621092736721039,0.05426512584090233,0.4573375880718231
26,-16.868946115504986,1,0.12046382517375528,4.807545020067262,0.0003575411101337522,0.045868005603551865,0.5477817319333553,0.03918712697923184,0.45181164145469666
27,-19.146341534491416,1,0.1169410824259283,4.798356771259171,0.0004318718274589628,0.04626184329390526,0.8354961264878511,0.017409156262874603,0.46088334918022156
28,-80.0,0,0.4454819641539628,3.3612694868669575,0.00013281404972076416,0.025658326223492622,0.0,0.0,0.4984387159347534
29,-16.000932014963297,1,0.10996809771434805,4.823985938988234,0.00031067110830917954,0.046013299375772476,0.5907027758657932,0.03571851775050163,0.45572710037231445
30,-17.37472022887343,1,0.11688698900984594,4.83351338253257,0.00038127281004562974,0.04549538344144821,0.6557016073726117,0.026093171536922456,0.4639677107334137
31,-20.68677683602364,1,0.11763539963205208,4.8374381018073525,0.0005220169550739229,0.04588513821363449,0.8022184610366822,0.044299693778157234,0.45196130871772766
32,-81.52339003798504,0,0.088957148996677,4.427269210629459,0.0002794899046421051,0.07432758063077927,14.528227233886719,65.57599334716797,0.46638423204421997
33,-15.244869930591985,1,0.1178334267881556,4.8056641588057625,0.00028911445406265557,0.046062082052230835,0.3917665362358093,0.3653946161270142,0.4597739279270172
34,-17.496820305418247,1,0.11825865930379033,4.7452619878962645,0.00036672395071946084,0.0447823591530323,0.7316875994205475,0.055162709578871726,0.45608896017074585
35,-15.97915126593484,1,0.1219900706114208,4.726168911448555,0.00031808283529244363,0.045401282608509064,0.4113026401028037,0.05207498297095299,0.46554628014564514
36,-16.803245766692818,1,0.11533235456786009,4.828905389939378,0.0003504652122501284,0.04392586275935173,0.6938456743955612,0.018904044479131698,0.4542568027973175
37,-13.922936559387308,1,0.11525432886024643,4.692606994690354,0.0002321302890777588,0.046043746173381805,0.33844683058559893,0.09157548099756241,0.45134952664375305
38,-17.47267871010981,1,0.11903204272764153,4.832933503113234,0.0003525508218444884,0.04680655151605606,0.6636381564661861,0.010685476660728454,0.46526074409484863
39,-16.84747783542795,1,0.11580574100310291,4.70730739374722,0.0003333219501655549,0.046998199075460434,0.5714574601501227,0.029621730931103228,0.45745477080345154
40,-16.152542655802836,1,0.1158589683156053,4.719231120681407,0.0003042433818336576,0.0461365208029747,0.4803796075284481,0.040009523183107375,0.4664253890514374
41,-16.374609023894422,1,0.11117376067225797,4.764550252702157,0.0003077696601394564,0.04568248614668846,0.5580366339534522,0.01778067722916603,0.45427846908569336
42,-16.019733593827567,1,0.1161038388911974,4.77371524955094,0.0002911213377956301,0.04638061299920082,0.4320453029125929,0.0405603900551796,0.4645799696445465
43,-16.04761129270451,1,0.1140890660470939,4.773960317837102,0.00030945774051360786,0.045730818063020706,0.6087750430218876,0.0375763438642025,0.46255549788475037
44,-15.239424973597146,1,0.11625018085442783,4.744307591505309,0.0002784329990390688,0.04570451378822327,0.5955612128600478,0.011829874664545059,0.4554154574871063
45,-16.363097896477843,1,0.11565379853718945,4.771633200371505,0.00032520241802558303,0.04107683524489403,0.8101761311292648,0.010234207333996891,0.47310107946395874
46,-81.50988518068405,1,0.12345619798482375,4.803535633719745,0.0029027967248111963,0.029271287843585014,8.93616156578064,34.95793418884277,0.46673277020454407
47,-16.566404142295703,1,0.11711575848519858,4.839633848161445,0.0003295785572845489,0.04586941376328468,0.34470176696777344,0.3464312568306923,0.45987245440483093
48,-80.0,0,0.04379169666159813,4.686641140221573,0.0009284317493438721,0.2439848631620407,0.0,0.0,0.4629230797290802
49,-14.69127698746617,1,0.11701778854661361,4.773737610727501,0.0002324075612705201,0.04529690369963646,0.21888030767440797,0.1317674770951271,0.46158191561698914
50,-18.868611815376283,1,0.12168571971747855,4.808147277267682,0.00043805368477478623,0.04550864174962044,0.5023636121302844,0.025362347811460496,0.46367305517196655
51,-15.242104802696637,1,0.11572541294725605,4.807529314295912,0.00027412973577156663,0.045749932527542114,0.43419682085514066,0.045867082010954616,0.4678677022457123
52,-14.831613080925749,1,0.11278316204259765,4.734582736024865,0.0002442715340293944,0.04207088425755501,0.44727222844958303,0.07267888728529215,0.4745192527770996
53,-16.126980542702604,1,0.11485956978458205,4.7896516979371295,0.0003206650144420564,0.04525167867541313,0.6207745656371116,0.011015659943223,0.4689098000526428
54,-80.0,0,0.4454819442016552,3.361269494517217,0.0001318901777267456,0.025654863566160202,0.0,0.0,0.4563429653644562
55,-15.122759780548435,1,0.11838567513142537,4.779777620758741,0.000272666773525998,0.046267714351415634,0.4019084066152573,0.008189333323389291,0.4596468508243561
56,-14.299365385596108,1,0.11261388076822121,4.802786876171278,0.0002311931166332215,0.04526041820645332,0.5993584234267473,0.016633960604667663,0.47197604179382324
57,-12.94577870656875,1,0.1161590635160943,4.779566834220402,0.0002095709933200851,0.04489843174815178,0.20714168176054953,0.03370430432260037,0.46803218126296997
58,-13.980271991785457,1,0.11987751653787115,4.776616510601555,0.00023406159016303718,0.04465451464056969,0.3879829168319702,0.026567062828689814,0.4721537232398987
59,-16.460474464879834,1,0.1137613978667408,4.7687123355405685,0.0002985575411003083,0.044741176068782806,0.7894282720983028,0.008239027485251427,0.46843481063842773
60,-15.32859264874449,1,0.11753741207312284,4.805490683373726,0.00025161143275909126,0.04527655988931656,0.7894727064296603,0.02313295044004917,0.4811197817325592
61,-16.028174039636234,1,0.11658277335961757,4.801727124348709,0.00029830154380761087,0.0446939691901207,0.7776334661990404,0.012630276754498482,0.4740247130393982
62,-14.893615408859578,1,0.1175784485607847,4.7482681744530355,0.0002523160364944488,0.04519594460725784,0.5203398741781712,0.016621380858123303,0.47516849637031555
63,-15.017077258748628,1,0.11434146121970239,4.805688845032703,0.0002745975216384977,0.04421142116189003,0.5005027610808611,0.03695029816590249,0.475238174200058
64,-12.46255311625573,1,0.11853130792812464,4.74472082197449,0.00018348438607063144,0.04496070370078087,0.3723282366991043,0.03714899532496929,0.4700689911842346
65,-80.0,0,0.04178166689453408,2.898874917256932,0.00014628469944000244,0.18482695519924164,0.0,0.0,0.4382501244544983
