episode,reward,success,avg_damping_ratio,avg_oscillation_freq,freq_deviation,voltage_deviation,control_cost,weight_idx,critic_loss,actor_loss,buffer_size
0,55.80429537204649,1,0.12553682720045503,4.789813248894456,0.00013183962437324226,0.04547012224793434,0.45016139201515976,0,0.0,0.0,28
1,54.69467683152089,1,0.12293639951176309,4.810235268940756,0.00019753830565605313,0.046052463352680206,0.455519978905441,0,0.0,0.0,56
2,55.61520809180688,1,0.1251710644788771,4.846138074316142,0.00021405039296951145,0.046209610998630524,0.4520755652961734,0,0.0,0.0,84
3,-10.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,84
4,55.607821763602246,1,0.12536463021029448,4.816766620865719,0.00019991079170722514,0.04594973102211952,0.45284911699768104,0,0.0,0.0,112
5,53.94796345189773,1,0.12129302989518664,4.788424572864415,0.00021806305448990315,0.04605836048722267,0.4489430275210662,0,0.0,0.0,140
6,49.74675238361903,1,0.11167487325309564,4.777047289440683,0.00024920381838455796,0.04694674536585808,0.45617954296417074,0,0.0,0.0,168
7,53.53445956102803,1,0.12028826446961219,4.728256773383462,0.00027188126114197075,0.04603201895952225,0.4571792613631191,0,0.0,0.0,196
8,-2.0094205617839545,1,0.11911998928035838,4.840738178290352,0.0002862161782104522,0.04514787718653679,0.4495065192089041,0,0.0,0.0,224
9,-14.51613648482507,1,0.12201942940738723,4.838565877739057,0.00018794355855789036,0.04599319025874138,0.45568734189351184,0,0.0,0.0,252
10,-8.236288979311663,1,0.12058603748616206,4.811237922082934,0.00018125666247215122,0.045049998909235,0.4453311368565168,0,0.26228058062493803,-0.12429915940389037,280
11,24.498650897636967,1,0.1276806923795609,4.802419326921564,0.0008658335427753627,0.041975561529397964,0.5647405768502275,1,0.32553926955110263,-0.12905958201736212,308
12,-45.50177317612826,1,0.13029284403113542,4.863237192753239,0.0019450773252174258,0.04453248530626297,0.6365542561518376,1,0.36759299132972956,-0.131272962849055,336
13,-60.28196850700858,1,0.13152911823378677,4.857292542289998,0.002873368561267853,0.04534732922911644,0.743526473568542,1,0.4158533921997462,-0.12459599194283198,364
14,-10.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,364
15,-10.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,364
16,-9.185671867486521,1,0.1426331832971059,4.876226506491433,0.002890533534809947,0.0462619923055172,0.8261436737440817,1,0.43708458902048214,-0.1325089022118066,392
17,-10.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,392
18,-10.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,392
19,-47.741977567078465,1,0.13815005323200943,4.870454746184941,0.002405006904155016,0.04620734602212906,0.8631124639598138,1,0.4729223059756415,-0.14784519573939697,420
20,-26.939547093771004,1,0.1353301493339933,4.8688132657345795,0.0015088574727997184,0.045036736875772476,0.890478007619226,1,0.522717382891902,-0.13373259821673855,448
