episode,reward,success,avg_damping_ratio,avg_oscillation_freq,freq_deviation,voltage_deviation,actor_loss,critic_loss,alpha_loss,alpha_value,action_magnitude
0,-13.017427960384296,1,0.11786346818273949,4.832863783537517,0.00034728594,0.046746947,0.0,0.0,0.0,1.0,0.28841403
1,-10.680711255474872,1,0.11432700904299571,4.829455572214685,0.00024160052,0.047460318,0.0,0.0,0.0,1.0,0.29434112
2,-9.994843696005415,1,0.11226300527798395,4.8034028315763155,0.0002140142,0.047311638,-6.697558357602074,2.033139835510935,-0.07231735707526761,0.9752134680747986,0.28757662
3,-80.0,0,0.051148220249831566,3.3903400610098675,0.00011754036,0.19893932,-7.534197211265564,10.04194188117981,-0.15167061612010002,0.9740352630615234,0.22548616
4,-11.739204636748338,1,0.11938791600192558,4.842693737045118,0.00025536757,0.04760626,-9.859036437102727,6.5326721685539395,-0.31452569604984354,0.9386193752288818,0.33226028
5,-16.347800674112197,1,0.11823498557685543,4.8368836034374265,0.00033445496,0.04674261,-16.561652047293528,8.358466074136752,-0.8786044003708022,0.8975667357444763,0.46594796
6,-82.03389069238578,0,0.09175092994351422,4.2809455355996455,0.00033527985,0.08249377,-17.49828177690506,8.957719936966896,-1.1556017063558102,0.8922207355499268,0.460868
7,-20.856391561045164,1,0.1163127832788456,4.717455028850411,0.0004793826,0.047085334,-17.810572275093623,13.022475055551954,-1.392093474311488,0.8575113415718079,0.4678869
8,-21.751859052748113,1,0.11605121238208053,4.806609745815811,0.0005113163,0.04631368,-19.06275544847761,10.970519241477762,-1.7917751776320594,0.8259363770484924,0.4717624
9,-25.511001349911716,1,0.11692836718653606,4.832190807407246,0.0006445327,0.047242466,-20.20324272768838,16.599166053746426,-2.1727747906531607,0.7964562177658081,0.4821674
10,-24.210774162813696,1,0.11521874668877996,4.775906786303778,0.000603993,0.047036536,-21.90715401513236,10.09028992482594,-2.5421800294092725,0.7686203122138977,0.4802867
11,-23.721494405239884,1,0.11591660595254763,4.836419785903623,0.00056298554,0.045538153,-22.903242128235952,8.261683481346283,-2.908828929066658,0.7421154379844666,0.49172655
12,-26.445993888458226,1,0.1170923246518936,4.753328791790065,0.0006605004,0.04851387,-23.551403181893484,14.042063464543649,-3.2577302370752608,0.7168407440185547,0.4874843
13,-26.799329917365792,1,0.12372286744007206,4.847391246592648,0.0006578905,0.049128268,-24.248609849384852,13.04089753835329,-3.618186118347304,0.6925827264785767,0.4915561
14,-80.0,0,0.0577522973257336,4.517375177689746,0.000112101436,0.1990149,-24.91536855697632,22.457998752593994,-3.7751184701919556,0.6917384266853333,0.4971486
15,-58.92487797676881,1,0.13426729555492894,4.830492766389491,0.0020313375,0.03420749,-25.534303341593063,12.990444877850157,-3.9925248665469035,0.6684410572052002,0.48576754
16,-23.574804638607247,1,0.1157295172680339,4.757752574745277,0.0005341417,0.048456304,-26.572801896503993,13.121042173089725,-4.345995766775949,0.6460239291191101,0.49272585
17,-80.0,0,0.4454819667755431,3.361269485861774,0.00013124943,0.025661651,-26.76555061340332,25.586966514587402,-4.512038052082062,0.6452410221099854,0.493314
18,-80.0,0,0.03158846376637959,3.6424647054216304,0.00028517842,0.22510764,-26.613473892211914,25.31451678276062,-4.503488540649414,0.644460141658783,0.49999845
19,-25.398460148515653,1,0.12242521584584175,4.813240891122879,0.00060103356,0.049053047,-26.979972652026586,17.381278007690394,-4.718365456376757,0.6229588985443115,0.4906561
20,-18.748740708219195,1,0.12134695055106369,4.841125112486135,0.0003373229,0.048306357,-28.167075940540858,15.495568105684859,-5.068870284727642,0.6022264361381531,0.4945781
21,-19.16139614422193,1,0.1198052543045861,4.778090127480007,0.0003600988,0.048621535,-28.732681495802744,24.996338246390224,-5.412086678402765,0.5822635293006897,0.4832404
22,-80.0,0,0.44548195765413334,3.361269489359165,0.00013625622,0.025665488,-28.923714637756348,57.73156404495239,-5.638903856277466,0.5815593004226685,0.4921571
23,-25.997400090703334,1,0.1133966404728625,4.802450785765797,0.00060416653,0.046728164,-29.314080374581472,25.796713467155183,-5.782998446907316,0.5622761845588684,0.48924652
24,-80.0,0,0.4454826392883391,3.36126922800169,5.6043267e-05,0.0446983,-28.68203353881836,31.734875917434692,-5.974188208580017,0.5616000890731812,0.49987507
25,-21.387736325825628,1,0.11898773353163213,4.831558228358331,0.00042475123,0.048296597,-30.39884979384286,30.14216544745224,-6.135925769805908,0.5430394411087036,0.48913142
26,-19.37197116044884,1,0.11627912876606754,4.832269963842959,0.000336853,0.048314206,-31.052459171840123,24.690128102898598,-6.494519365685327,0.5250929594039917,0.49205118
27,-19.714696188254106,1,0.11844920456774817,4.837403646769862,0.00034920286,0.048234284,-31.52912208012172,26.51991537160107,-6.8343420922756195,0.5077776312828064,0.49413136
28,-80.0,0,0.44548195932304013,3.3612694887192625,0.00013333559,0.025664078,-32.226877212524414,49.653769969940186,-7.13010573387146,0.5071679949760437,0.49129167
29,-16.303910482390066,1,0.11899325381179203,4.723331407447278,0.0002333442,0.048036456,-31.94128315789359,29.863369601113455,-7.209905211414609,0.4904235005378723,0.48639154
30,-16.981181516411993,1,0.1123388506173335,4.792707213729204,0.00025323886,0.047487628,-33.147469707897734,23.267973682177917,-7.54703335251127,0.47428032755851746,0.4839992
31,-20.47663088264596,1,0.11750150467904764,4.836009303007165,0.0003928851,0.047178168,-33.94826190812247,17.46605731294091,-7.902447198118482,0.4586658477783203,0.48632267
32,-86.62855775741454,0,0.11139729917577237,4.754897272027309,0.00046597255,0.06267746,-34.27250623703003,24.372340924210018,-8.148581584294638,0.4537462890148163,0.46917814
33,-18.77703668186639,1,0.12145911682052625,4.837684443225752,0.00033820048,0.048939142,-34.638831053461345,28.11600598147405,-8.352525647197451,0.43883711099624634,0.4773729
34,-16.179738038058595,1,0.1173075396390194,4.80974685156229,0.00023595562,0.047349073,-34.92126798629761,38.114364242979455,-8.721263962132591,0.4243972897529602,0.48723704
35,-18.269169292298216,1,0.12099555424347497,4.751457800469803,0.0003228443,0.048753567,-35.76999180657523,33.447702133229804,-9.055651447602681,0.41045263409614563,0.47925928
36,-14.785316501824596,1,0.11958983075334384,4.7997467051300635,0.00018796803,0.047349446,-36.27899272101266,31.17342927360109,-9.390935233661107,0.39698585867881775,0.4888378
37,-16.94361130515858,1,0.11702797677136674,4.83490272493452,0.00025917537,0.04906712,-37.03610335077558,32.01922163952674,-9.73202244724546,0.3839768171310425,0.49407378
38,-20.967357545640397,1,0.12129497918973395,4.812405638814673,0.00042371824,0.049254406,-37.350987621716094,38.997121970302295,-10.054702699184418,0.3714247941970825,0.49398503
39,-26.325631336476178,1,0.11559403360756093,4.838973466053703,0.00063031435,0.048780747,-38.34196971143995,27.15456978444542,-10.426741804395403,0.35925525426864624,0.4941199
40,-22.92486507563591,1,0.11854230996278162,4.837784717401594,0.00049468875,0.048789706,-38.83728952067239,29.170047855137714,-10.758094029767173,0.34749335050582886,0.49881652
41,-21.63402266124465,1,0.1266456131422113,4.855061373766806,0.0004581016,0.048291534,-38.66638398170471,33.99802677200309,-11.074066093989781,0.3361521363258362,0.49705893
42,-21.516034386855996,1,0.15645131688888192,4.858841629769132,0.0004909166,0.048188567,-39.69829414572035,23.847631283237465,-11.46312061377934,0.32514065504074097,0.4990425
43,-25.98753416638727,1,0.12192623189578711,4.837631074199523,0.00061626517,0.049243633,-39.94475063255855,26.237501676593507,-11.77033578498023,0.3145178258419037,0.4986518
