Algorithm,Avg Reward,Std Reward,Max Reward,Success Rate,Avg Damping,Max Damping,Avg Osc Freq
MAPPO,-28.80874354448537,24.749543007370658,-9.12985015808088,83.0,0.14152657511584907,0.4454828233260143,4.6048324062168255
MASAC,-30.40501339351691,22.4905756024525,-9.994843696005416,85.0,0.15369216420593554,0.4454827462316908,4.6214186130297294
MATD3,-76.38116118832659,42.47636943969133,-1.6899191299077525,41.0,0.1506380890057016,0.4454841333141157,4.631461421119846
NSGA2_MATD3,-3.5517502152263223,21.767700791660523,64.65678560339983,85.0,0.11438238445549902,0.1695450360873551,4.108188976568473
WSE_MATD3,-0.9849415536693139,25.911762436541046,55.80429537204649,82.0,0.10933724914441846,0.1774689651964198,3.956653041797637
